approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
1.0087572e-06,0.0,nan,nan,-0.0001016855239868164,273,1,3.583518,-0.00013091849,128,11.241071462631226,3072,4.7615523
1.1733759e-05,0.0,nan,nan,-0.00011420249938964844,274,2,3.5834906,-0.00040274687,256,22.44295024871826,6144,6.494941
2.9488638e-05,0.0,nan,nan,0.00025349855422973633,293,3,3.5833764,-0.00029635755,384,32.92510724067688,9216,4.2489924
5.2120507e-05,0.0,nan,nan,-0.0002747774124145508,314,4,3.5829797,-0.00088361494,512,42.68852257728577,12288,7.851788
9.495031e-05,0.0,nan,nan,-4.3511390686035156e-05,327,5,3.5822728,-0.00089267,640,52.057079553604126,15360,3.011822
0.00013756662,0.0,nan,nan,-0.00014221668243408203,330,6,3.5810025,-0.0013223425,768,61.34591722488403,18432,5.85751
0.00028687133,0.0,nan,nan,-6.783008575439453e-05,345,7,3.5783906,-0.0027988113,896,70.2311520576477,21504,9.08471
0.0007058528,0.0,992.0,451.0,0.0002396106719970703,342,8,3.5712109,-0.0036043471,1024,79.195720911026,24576,9.87638
0.0014526689,0.05696615,1060.0,535.0,2.6226043701171875e-05,276,9,3.5594997,-0.0049085924,1152,90.3060233592987,27648,22.165527
0.0009936211,0.0146484375,1145.0,646.2,0.00014978647232055664,290,10,3.5395098,-0.002333519,1280,100.87424325942993,30720,19.262531
0.0016249822,0.044677734,1214.875,662.75,-1.990795135498047e-05,324,11,3.5081706,-0.0040391097,1408,110.33312749862671,33792,25.279034
0.0013577163,0.030029299,1314.6153846153845,671.6153846153846,0.00036090612411499023,324,12,3.4729538,-0.00230513,1536,119.78725266456604,36864,20.237307
0.0013403106,0.047851562,1383.764705882353,727.6470588235294,0.00039064884185791016,324,13,3.4457114,-0.0020282385,1664,129.2666449546814,39936,18.511461
0.0009888223,0.019124348,1293.3157894736842,714.6842105263158,0.0004118680953979492,313,14,3.417201,-0.0022099863,1792,139.07561445236206,43008,19.98172
0.0013528233,0.051350914,1233.5238095238096,733.0952380952381,0.0003674626350402832,337,15,3.3882592,-0.0024816764,1920,148.19119668006897,46080,17.896526
0.0010243692,0.021321615,1121.28,744.0,0.0006000995635986328,345,16,3.3643873,-0.0016564237,2048,157.07515692710876,49152,17.919867
0.00085589517,0.0039876304,1139.1290322580646,770.1935483870968,0.000674903392791748,266,17,3.3348184,-0.0008363544,2176,168.60219359397888,52224,23.54368
0.00075015327,0.0068359375,1136.8529411764705,787.4117647058823,0.0009188055992126465,296,18,3.3287916,-0.0017555204,2304,178.96424674987793,55296,27.05744
0.0011565303,0.030517578,1136.8529411764705,787.4117647058823,0.0007788538932800293,310,19,3.3047142,-0.0016039747,2432,188.8441619873047,58368,17.694456
0.0016499871,0.097086586,1105.4722222222222,799.4166666666666,0.0012644529342651367,307,20,3.259656,-0.001023662,2560,198.82683897018433,61440,17.442936
0.00046305262,0.00048828125,1087.7027027027027,799.6216216216217,0.0010372400283813477,308,21,3.2567382,-0.0006837439,2688,208.79633474349976,64512,18.498253
0.00031043455,0.0,1080.2558139534883,844.8139534883721,0.0006893277168273926,300,22,3.2314372,-0.0003326915,2816,219.03148221969604,67584,14.921507
0.00067267043,0.0100911455,1117.7826086956522,897.695652173913,0.0009964704513549805,267,23,3.209204,-0.0008972939,2944,230.49629163742065,70656,17.649155
0.00045361754,0.0,1114.3125,904.5833333333334,0.0006458759307861328,284,24,3.1858947,-0.00041752023,3072,241.29794836044312,73728,16.49642
